Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Zander Horvath,FB,24,15,0,18.6,,HorvZa00
Keaontay Ingram,RB,23,12,0,18.1,,IngrKe01
Tom Kennedy,WR,26,7,0,22.1,,KennTo01
Ko Kieft,TE,24,17,0,21.0,,KiefKo00
Breshad Perriman,WR,29,11,2,23.3,,PerrBr02
Samori Toure,WR,24,11,1,19.2,,TourSa00
Jameson Williams,WR,21,6,0,15.1,,WillJa11
Cedrick Wilson Jr.,WR,27,15,0,26.4,,WilsCe01
Salvon Ahmed,RB,24,12,0,14.2,,AhmeSa01
Royce Freeman,RB,26,4,1,19.0,,FreeRo00
Zach Gentry,TE,26,17,0,32.2,,GentZa00
Reggie Gilliam,FB,25,15,0,20.9,,GillRe00
Tanner Hudson,TE,28,11,0,23.2,,HudsTa00
Brevin Jordan,TE,22,11,0,26.8,,JordBr00
Chris Myarick,FB,27,16,0,19.5,,MyarCh00
Jeff Smith,WR,25,11,0,21.4,,SmitJe03
Pharaoh Brown,TE,28,16,0,23.7,,BrowPh01
T.Y. Hilton,WR,33,3,0,19.1,,HiltT.00
Trey Lance,QB,22,2,1,12.5,,LancTr00
Jordan Love,QB,24,4,0,11.7,,LoveJo03
Quintin Morris,TE,23,14,1,20.4,,MorrQu00
Nick Mullens,QB,27,4,0,11.8,,MullNi00
Jack Stoll,TE,24,17,0,23.3,,StolJa00
Geoff Swaim,TE,29,17,0,23.8,,SwaiGe00
Jalen Virgil,WR,24,9,1,13.5,,VirgJa00
Josiah Deguara,TE,25,17,0,24.4,,DeguJo00
Kevin Harris,RB,22,5,0,11.2,,HarrKe01
Brycen Hopkins,TE,25,14,0,17.9,,HopkBr01
David Sills,WR,26,9,0,21.6,,SillDa01
Tyrod Taylor,QB,33,3,2,11.3,,TaylTy00
John Brown,WR,32,3,0,11.2,,BrowJo02
Snoop Conner,RB,23,8,0,10.2,,ConnSn00
Tyrion Davis-Price,RB,22,6,0,9.9,,DaviTy03
Chris Evans,RB,25,12,0,12.8,,EvanCh02
Darrynton Evans,RB,24,6,0,10.7,,EvanDa02
Anthony Firkser,TE,27,11,0,19.0,,FirkAn00
Marcus Johnson,WR,28,14,0,18.9,,JohnMa07
Dax Milne,WR,23,15,1,15.7,,MilnDa00
Kene Nwangwu,RB,24,17,0,11.5,,NwanKe00
Giovanni Ricci,FB,26,15,0,18.0,,RiccGi00
Trevor Siemian,QB,31,2,0,10.2,,SiemTr00
Michael Bandy,WR,25,10,0,18.9,,BandMi00
Parker Hesse,TE,27,17,0,17.9,,HessPa00
Phillip Lindsay,RB,28,3,0,14.8,,LindPh00
Trace McSorley,QB,27,6,2,8.6,,McSoTr00
Patrick Ricard*,FB,28,17,0,20.0,,RicaPa00
Armani Rogers,TE,25,11,0,14.0,,RogeAr00
Kyle Rudolph,TE,33,9,0,11.8,,RudoKy00
Cam Sims,WR,26,17,0,16.9,,SimsCa00
Chris Streveler,QB,27,2,1,9.0,,StreCh00
Jordan Wilkins,RB,28,4,0,14.7,,WilkJo01
Tyler Badie,RB,22,1,0,9.4,,BadiTy00
