,,,Game,Fumb,Fant,Fant,-additional
Player,FantPos,Age,G,Fmb,PPR,VBD,-9999
,,,,,,,-9999
Irv Smith Jr.,TE,25,12,1,33.5,,SmitIr01
John Bates,TE,26,17,0,34.1,,BateJo00
Jalen Guyton,WR,26,8,0,24.9,,GuytJa01
Charlie Kolar,TE,24,15,0,21.7,,KolaCh00
David Moore,WR,28,7,0,20.4,,MoorDa03
Ronnie Rivers,RB,24,9,0,20.1,,RiveRo01
Jeremy Ruckert,TE,23,15,0,31.1,,RuckJe00
Trent Sherfield,WR,27,17,0,25.6,,SherTr00
Josh Whyle,TE,24,11,0,24.4,,WhylJo01
Brock Wright,TE,25,14,0,28.1,,WrigBr01
Chase Claypool,WR,25,12,0,21.7,,ClayCh01
Jeff Driskel,QB,30,1,0,13.9,,DrisJe00
Xavier Hutchinson,WR,23,16,0,21.9,,HutcXa00
Charlie Jones,WR,25,11,0,20.7,,JoneCh11
Terrace Marshall Jr.,WR,23,9,1,32.9,,MarsTe00
Byron Pringle,WR,30,17,1,28.1,,PrinBy00
Ben Skowronek,WR,26,17,0,21.5,,SkowBe00
Tyquan Thornton,WR,23,9,0,27.2,,ThorTy00
Jordan Akins,TE,31,17,0,28.2,,AkinJo00
Isaiah Spiller,RB,22,9,0,19.0,,SpilIs00
Stephen Sullivan,TE,27,11,0,24.5,,SullSt00
Lynn Bowden Jr.,WR,26,15,1,22.5,,BowdLy00
Jason Brownlee,WR,24,7,0,16.6,,BrowJa07
Randall Cobb,WR,33,11,0,16.9,,CobbRa00
Tyler Goodson,RB,23,6,0,18.1,,GoodTy00
Alec Ingold*,FB,27,17,0,24.9,,IngoAl01
Marcus Mariota,QB,30,3,1,11.8,,MariMa01
D.J. Montgomery,WR,27,7,0,14.6,,MontDJ01
Boston Scott,RB,28,15,1,15.8,,ScotBo02
Laviska Shenault Jr.,WR,25,8,1,21.5,,ShenLa00
Cole Turner,TE,23,12,0,23.0,,TurnCo00
C.J. Uzomah,TE,30,12,0,19.8,,UzomC.00
Jameis Winston,QB,29,7,0,12.0,,WinsJa00
Raheem Blackshear,RB,24,12,0,17.1,,BlacRa00
Brandon Bolden,RB,33,17,0,11.1,,BoldBr00
Tim Boyle,QB,29,3,2,10.9,,BoylTi00
Chris Brooks,RB,23,9,0,10.6,,BrooCh00
Mecole Hardman,WR,25,11,1,25.7,,HardMe00
La'Mical Perine,RB,25,3,0,14.0,,PeriLa00
Patrick Ricard,FB,29,17,0,16.2,,RicaPa00
Robert Tonyan,TE,29,17,0,22.2,,TonyRo00
Emanuel Wilson,RB,24,7,1,14.8,,WilsEm00
Lawrence Cager,TE,26,11,0,13.6,,CageLa01
Parris Campbell,WR,26,12,0,30.4,,CampPa00
J.K. Dobbins,RB,25,1,0,11.7,,DobbJK00
Marquise Goodwin,WR,33,12,0,14.0,,GoodMa00
Keaontay Ingram,RB,24,8,0,14.0,,IngrKe01
Case Keenum,QB,35,2,1,9.7,,KeenCa00
Keith Kirkwood,WR,29,13,0,14.7,,KirkKe00
Hunter Luepke,RB,23,17,0,12.7,,LuepHu00
Sterling Shepard,WR,30,15,1,20.3,,ShepSt00
Brenton Strange,TE,23,14,0,14.5,,StraBr00
Israel Abanikanda,RB,21,6,1,16.3,,AbanIs00
Nick Bawden,FB,27,16,0,11.5,,BawdNi00
Richie James,WR,28,9,2,19.4,,JameRi00
Marcedes Lewis,TE,39,17,0,12.9,,LewiMa00
Quintin Morris,TE,24,15,0,10.6,,MorrQu00
Geoff Swaim,TE,30,14,0,19.4,,SwaiGe00
Brycen Hopkins,TE,26,15,0,12.8,,HopkBr01
Tim Jones,WR,25,17,0,19.3,,JoneTi00
Dare Ogunbowale,RB,29,12,0,10.3,,OgunDa00
Ben Sims,TE,23,17,0,12.1,,SimsBe00
Samori Toure,WR,25,11,1,15.8,,TourSa00
Deuce Vaughn,RB,22,7,0,15.0,,VaugDe00
Trayveon Williams,RB,26,17,0,14.9,,WillTr06
Blake Bell,TE,32,17,1,11.6,,BellBl00
Gary Brightwell,RB,24,7,0,11.6,,BrigGa00
Chris Conley,WR,31,8,0,9.9,,ConlCh00
Josiah Deguara,TE,26,15,0,14.5,,DeguJo00
Simi Fehoko,WR,26,6,0,7.9,,FehoSi00
Eric Gray,RB,24,13,3,13.0,,GrayEr01
Tyler Johnson,WR,25,1,0,8.8,,JohnTy00
Velus Jones Jr.,WR,26,14,0,11.1,,JoneVe00
Clayton Tune,QB,24,7,2,7.5,,TuneCl00
Tylan Wallace,WR,24,11,0,8.1,,WallTy00
Jalen Brooks,WR,23,7,0,12.4,,BrooJa03
DeAndre Carter,WR,30,17,2,9.7,,CartDe02
Payne Durham,TE,23,13,0,10.8,,DurhPa00
Blaine Gabbert,QB,34,2,0,5.9,,GabbBl00
Rakim Jarrett,WR,22,10,0,10.0,,JarrRa00
Ko Kieft,TE,25,16,0,7.2,,KiefKo00
Isaiah McKenzie,WR,28,13,3,16.6,,McKeIs00
Equanimeous St. Brown,WR,27,7,0,11.2,,St.BEq00
Ian Thomas,TE,27,12,0,10.6,,ThomIa00
Darnell Washington,TE,22,17,0,13.1,,WashDa03
Mitchell Wilcox,TE,27,17,0,14.6,,WilcMi01
Damien Williams,RB,31,3,0,7.5,,WillDa05
Brian Hoyer,QB,38,3,0,4.9,,HoyeBr00
Ty Montgomery,WR,30,13,0,9.9,,MontTy01
Justyn Ross,WR,24,10,0,11.3,,RossJu00
Brett Rypien,QB,27,2,2,4.8,,RypiBr00
Mike Strachan,WR,26,4,0,5.5,,StraMi03
Michael Burton,FB,31,17,0,6.7,,BurtMi00
Grant Calcaterra,TE,25,15,0,7.9,,CalcGr00
Elijah Cooks,WR,25,9,0,6.8,,CookEl00
Britain Covey,WR,26,16,2,8.2,,CoveBr00
Leonard Fournette,RB,28,2,0,4.0,,FourLe00
Peyton Hendershot,TE,24,8,0,7.8,,HendPe01
